num__Shares,num__MarketCap,num__MinutesFirstAdded,num__MinutesLastUpdated,num__HourlyFirstAdded,num__HourlyLastUpdated,num__DailyFirstAdded,num__DailyLastUpdated,num__DaysSinceListing,cat__ListingBoard_Akselerasi,cat__ListingBoard_Pengembangan,cat__ListingBoard_Utama,cat__Sector_Basic Materials,cat__Sector_Consumer Cyclicals,cat__Sector_Consumer Non-Cyclicals,cat__Sector_Energy,cat__Sector_Financials,cat__Sector_Healthcare,cat__Sector_Industrials,cat__Sector_Infrastructures,cat__Sector_Properties & Real Estate,cat__Sector_Technology,cat__Sector_Transportation & Logistic
-0.19578137616912702,0.10176666811835615,0.9955548717454062,0.9965116239547069,0.9781541405263674,0.9793666402855663,0.2092548748671847,0.9574681007467468,0.9574665089571424,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.15192247233713804,-0.18888323024153944,0.6216703510530168,0.6256948149399483,0.5945845262564932,0.6056912505608312,-0.5219346411821317,0.5794475572007823,0.5794449469078011,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.22421549082271053,-0.11835861343471889,1.7257684216763542,1.7075575610375757,1.7272831206803474,1.6959038214759563,2.047981451991201,1.695759492266086,1.6957598896601072,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.17771455201902395,-0.03535210681736764,-0.21672298405288676,-0.2058195271020298,-0.26552652503140994,-0.23223313223562436,-0.5219346411821317,-0.2682203367658663,-0.26822523093634376,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.13624128599499852,-0.03522779043884268,0.13699644510469736,0.1449976443706893,0.09735564176832509,0.12128844522603813,-0.5219346411821317,0.08941204294671808,0.08940811234764605,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03865718906128577,-0.16109989958766313,-0.35099877003759006,-0.3389935841466703,-0.4032805870090424,-0.36643381154031984,-0.5219346411821317,-0.4039815218210794,-0.403986781773861,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.24685266491226251,-0.17197292314249482,-1.0095669359272301,-1.0185106808691469,-1.0088143435467625,-1.0511892211374234,-0.5219346411821317,-1.0966993706540396,-1.0967064970013343,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.22488955128657726,-0.11750440769071507,1.298031244767485,1.2965061870853019,1.2884658525784547,1.281673824231656,0.9709106207518894,1.2632905582474476,1.2632897904374154,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.160101151218229,-0.1683045602238444,0.4520463457896549,0.4574625697333794,0.4205665857723815,0.43616212387733777,-0.5219346411821317,0.4079471202494089,0.40794404788160876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
-0.21594631523308133,-0.02648201299189839,0.4489622729666847,0.4544038016387145,0.41740262321812494,0.4330797761194561,-0.5219346411821317,0.40482893048665664,0.4048258497174962,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.15294116239088865,-0.1884037276040465,1.3540190283229445,1.3520345924961412,1.3459039420249586,1.3376302912208928,1.1118916058725092,1.31989769547895,1.3198970801859207,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6537789270188126,1.0493844935702858,-1.0750441743225978,-1.0719214775990646,-1.0088143435467625,-1.1050117550635115,-0.5219346411821317,-1.1511477611267134,-1.1511550341746848,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4597732902483078,1.7674487362595523,0.07697564324227697,0.08546931145144185,0.03578006282779325,0.06130121578418662,-0.5219346411821317,0.028727272948539773,0.02872317884607032,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.21594631523308133,-0.19454196930719966,-0.9089787146242017,-0.8923953194275793,-0.97571442759454,-0.924101652043224,-0.5219346411821317,-0.9681340081282548,-0.9681407880809998,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.1708780782080644,-0.08359914592766238,-0.6337845242668592,-0.6194590894420969,-0.6933916150608762,-0.6490613905707033,-0.5219346411821317,-0.6898955369903621,-0.6899015672832612,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2533475798384971,-0.020740117956536814,0.504950056522144,0.509932207049554,0.4748407126646289,0.4890362431086931,-0.5219346411821317,0.4614360677181589,0.4614331394660016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1434726522146232,-0.16935525277322933,-0.48052982860233917,-0.4674618441225956,-0.5361670142878187,-0.4958924173713512,-0.5219346411821317,-0.5349454918566737,-0.5349511046665897,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
